"No.","Time","MACSrc","Source","PortSrc","Protocol","MACDest","Destination","PortDst","Info","Length"
"328356","6347.799359","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3880, FN=0, Flags=....R...","30"
"328357","6347.800988","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3880, FN=0, Flags=....R...","30"
"328358","6347.801664","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3880, FN=0, Flags=....R...","30"
"328359","6347.803646","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3880, FN=0, Flags=....R...","30"
"335106","6489.081857","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=........","30"
"335107","6489.083679","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335108","6489.084332","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335109","6489.085034","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335110","6489.085718","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335111","6489.086429","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335112","6489.087167","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"335113","6489.087877","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1472, FN=0, Flags=....R...","30"
"340754","6571.582948","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=........","30"
"340755","6571.583558","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"340757","6571.584457","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"340758","6571.585195","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"340759","6571.585879","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"340760","6571.586562","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"340761","6571.587800","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
